TimestampLocal,TimestampLocal.total_count
2022-10-11 0:00,7513
2022-10-12 0:00,8097
2022-10-13 0:00,7826
2022-10-14 0:00,6866
2022-10-15 0:00,4058
2022-10-16 0:00,3086
2022-10-17 0:00,7602
2022-10-18 0:00,8155
2022-10-19 0:00,8383
2022-10-20 0:00,8100
2022-10-21 0:00,8869
2022-10-22 0:00,4515
2022-10-23 0:00,2655
2022-10-24 0:00,7274
2022-10-25 0:00,7766
2022-10-26 0:00,7698
2022-10-27 0:00,8041
2022-10-28 0:00,6979
2022-10-29 0:00,3346
2022-10-30 0:00,2636
2022-10-31 0:00,7130
2022-11-01 0:00,8049
2022-11-02 0:00,8071
2022-11-03 0:00,8040
2022-11-04 0:00,7111
2022-11-05 0:00,3234
2022-11-06 0:00,2304
2022-11-07 0:00,7394
2022-11-08 0:00,7522
2022-11-09 0:00,4731
2022-11-10 0:00,3889
2022-11-11 0:00,1713
2022-11-12 0:00,2419
2022-11-13 0:00,2211
2022-11-14 0:00,7795
2022-11-15 0:00,8415
2022-11-16 0:00,8535
2022-11-17 0:00,8204
2022-11-18 0:00,7469
2022-11-19 0:00,2853
2022-11-20 0:00,2180
2022-11-21 0:00,8131
2022-11-22 0:00,8457
2022-11-23 0:00,8422
2022-11-24 0:00,7656
