TimestampLocal,TimestampLocal.total_count
2020-06-01 00:00,1826
2020-06-02 00:00,1915
2020-06-03 00:00,1790
2020-06-04 00:00,1806
2020-06-05 00:00,1874
2020-06-06 00:00,861
2020-06-07 00:00,1305
2020-06-08 00:00,1969
2020-06-09 00:00,2028
2020-06-10 00:00,2074
2020-06-11 00:00,1855
2020-06-12 00:00,2030
2020-06-13 00:00,907
2020-06-14 00:00,651
2020-06-15 00:00,1991
2020-06-16 00:00,2199
2020-06-17 00:00,2354
2020-06-18 00:00,2615
2020-06-19 00:00,2227
2020-06-20 00:00,707
2020-06-21 00:00,811
2020-06-22 00:00,2191
2020-06-23 00:00,2147
2020-06-24 00:00,2323
2020-06-25 00:00,2544
2020-06-26 00:00,2260
2020-06-27 00:00,908
2020-06-28 00:00,1419
2020-06-29 00:00,2622
2020-06-30 00:00,2220
2020-07-01 00:00,688
2020-07-02 00:00,2103
2020-07-03 00:00,2025
2020-07-04 00:00,1210
2020-07-05 00:00,1787
2020-07-06 00:00,1889
2020-07-07 00:00,1611
2020-07-08 00:00,1688
2020-07-09 00:00,2260
2020-07-10 00:00,1779
2020-07-11 00:00,637
2020-07-12 00:00,1238
2020-07-13 00:00,2132
2020-07-14 00:00,3094
2020-07-15 00:00,2508
2020-07-16 00:00,2644
2020-07-17 00:00,2247
2020-07-18 00:00,1643
2020-07-19 00:00,1931
2020-07-20 00:00,3076
2020-07-21 00:00,2813
2020-07-22 00:00,2362
2020-07-23 00:00,2482
2020-07-24 00:00,2406
2020-07-25 00:00,1637
2020-07-26 00:00,2316
2020-07-27 00:00,2705
2020-07-28 00:00,2500
2020-07-29 00:00,3065
2020-07-30 00:00,3149
2020-07-31 00:00,2180
2020-08-01 00:00,1376
2020-08-02 00:00,1241
2020-08-03 00:00,1135
2020-08-04 00:00,2544
2020-08-05 00:00,2681
2020-08-06 00:00,2879
2020-08-07 00:00,2176
2020-08-08 00:00,1043
2020-08-09 00:00,1573
2020-08-10 00:00,2696
2020-08-11 00:00,2456
2020-08-12 00:00,2502
2020-08-13 00:00,2586
2020-08-14 00:00,2570
2020-08-15 00:00,1914
2020-08-16 00:00,2318
2020-08-17 00:00,2648
2020-08-18 00:00,2899
2020-08-19 00:00,2538
2020-08-20 00:00,2639
2020-08-21 00:00,2522
2020-08-22 00:00,1283
2020-08-23 00:00,1068
2020-08-24 00:00,2926
2020-08-25 00:00,2944
2020-08-26 00:00,3261
2020-08-27 00:00,2808
2020-08-28 00:00,2713
2020-08-29 00:00,1283
2020-08-30 00:00,1213
2020-08-31 00:00,2934
2020-09-01 00:00,2245
2020-09-02 00:00,2118
2020-09-03 00:00,2326
2020-09-04 00:00,2326
2020-09-05 00:00,1189
2020-09-06 00:00,1379
2020-09-07 00:00,1542
2020-09-08 00:00,2396
2020-09-09 00:00,2561
2020-09-10 00:00,2832
2020-09-11 00:00,2427
2020-09-12 00:00,1056
2020-09-13 00:00,971
2020-09-14 00:00,2336
2020-09-15 00:00,2585
2020-09-16 00:00,2366
2020-09-17 00:00,2551
2020-09-18 00:00,2596
2020-09-19 00:00,1287
2020-09-20 00:00,1179
2020-09-21 00:00,2430
2020-09-22 00:00,2776
2020-09-23 00:00,3200
2020-09-24 00:00,3056
2020-09-25 00:00,2651
2020-09-26 00:00,1369
2020-09-27 00:00,996
2020-09-28 00:00,2724
2020-09-29 00:00,2784
2020-09-30 00:00,2712
2020-10-01 00:00,2629
2020-10-02 00:00,2684
2020-10-03 00:00,1233
2020-10-04 00:00,940
2020-10-05 00:00,2860
2020-10-06 00:00,2819
2020-10-07 00:00,3179
2020-10-08 00:00,2858
2020-10-09 00:00,2707
2020-10-10 00:00,1040
2020-10-11 00:00,933
2020-10-12 00:00,669
2020-10-13 00:00,2690
2020-10-14 00:00,2657
2020-10-15 00:00,2615
2020-10-16 00:00,2474
2020-10-17 00:00,1219
2020-10-18 00:00,1133
2020-10-19 00:00,2866
2020-10-20 00:00,3054
2020-10-21 00:00,2843
2020-10-22 00:00,2610
2020-10-23 00:00,2766
2020-10-24 00:00,1346
2020-10-25 00:00,1071
2020-10-26 00:00,2844
2020-10-27 00:00,2899
2020-10-28 00:00,2988
2020-10-29 00:00,2897
2020-10-30 00:00,2617
2020-10-31 00:00,1453
2020-11-01 00:00,1350
2020-11-02 00:00,2604
2020-11-03 00:00,2829
2020-11-04 00:00,2805
2020-11-05 00:00,2831
2020-11-06 00:00,2635
2020-11-07 00:00,1389
2020-11-08 00:00,1137
2020-11-09 00:00,2638
2020-11-10 00:00,2313
2020-11-11 00:00,716
2020-11-12 00:00,2240
2020-11-13 00:00,2279
2020-11-14 00:00,1165
2020-11-15 00:00,1017
2020-11-16 00:00,2622
2020-11-17 00:00,2893
2020-11-18 00:00,2688
2020-11-19 00:00,2864
2020-11-20 00:00,2704
2020-11-21 00:00,1239
2020-11-22 00:00,1033
2020-11-23 00:00,2500
2020-11-24 00:00,2706
2020-11-25 00:00,2606
2020-11-26 00:00,2636
2020-11-27 00:00,2340
2020-11-28 00:00,1176
2020-11-29 00:00,962
2020-11-30 00:00,2952
2020-12-01 00:00,2672
2020-12-02 00:00,2922
2020-12-03 00:00,3013
2020-12-04 00:00,2611
2020-12-05 00:00,1122
2020-12-06 00:00,1004
2020-12-07 00:00,2541
2020-12-08 00:00,2598
2020-12-09 00:00,2445
2020-12-10 00:00,2638
2020-12-11 00:00,2124
2020-12-12 00:00,1142
2020-12-13 00:00,843
2020-12-14 00:00,2338
2020-12-15 00:00,2482
2020-12-16 00:00,2153
2020-12-17 00:00,2286
2020-12-18 00:00,2222
2020-12-19 00:00,1056
2020-12-20 00:00,1034
2020-12-21 00:00,1740
2020-12-22 00:00,1588
2020-12-23 00:00,1321
2020-12-24 00:00,890
2020-12-25 00:00,376
2020-12-26 00:00,399
2020-12-27 00:00,408
2020-12-28 00:00,566
