TimestampLocal,TimestampLocal.total_count
2022-06-06 0:00,121
2022-06-07 0:00,873
2022-06-08 0:00,804
2022-06-09 0:00,774
2022-06-10 0:00,1227
2022-06-11 0:00,891
2022-06-12 0:00,250
2022-06-13 0:00,781
2022-06-14 0:00,872
2022-06-15 0:00,876
2022-06-16 0:00,830
2022-06-17 0:00,614
2022-06-18 0:00,200
2022-06-19 0:00,133
2022-06-20 0:00,695
2022-06-21 0:00,814
2022-06-22 0:00,744
2022-06-23 0:00,707
2022-06-24 0:00,504
2022-06-25 0:00,146
2022-06-26 0:00,796
2022-06-27 0:00,692
2022-06-28 0:00,735
2022-06-29 0:00,692
2022-06-30 0:00,583
2022-07-01 0:00,552
2022-07-02 0:00,441
2022-07-03 0:00,537
2022-07-04 0:00,655
2022-07-05 0:00,724
2022-07-06 0:00,732
2022-07-07 0:00,1822
2022-07-08 0:00,540
2022-07-09 0:00,97
2022-07-10 0:00,115
2022-07-11 0:00,726
2022-07-12 0:00,735
2022-07-13 0:00,713
2022-07-14 0:00,720
2022-07-15 0:00,550
2022-07-16 0:00,122
2022-07-17 0:00,117
2022-07-18 0:00,690
2022-07-19 0:00,661
2022-07-20 0:00,691
2022-07-21 0:00,664
2022-07-22 0:00,526
2022-07-23 0:00,138
2022-07-24 0:00,121
2022-07-25 0:00,665
2022-07-26 0:00,761
2022-07-27 0:00,729
2022-07-28 0:00,660
2022-07-29 0:00,521
2022-07-30 0:00,136
2022-07-31 0:00,93
2022-08-01 0:00,135
2022-08-02 0:00,684
2022-08-03 0:00,751
2022-08-04 0:00,677
2022-08-05 0:00,490
2022-08-06 0:00,149
2022-08-07 0:00,149
2022-08-08 0:00,586
2022-08-09 0:00,675
2022-08-10 0:00,707
2022-08-11 0:00,683
2022-08-12 0:00,500
2022-08-13 0:00,131
2022-08-14 0:00,132
2022-08-15 0:00,646
2022-08-16 0:00,699
2022-08-17 0:00,637
2022-08-18 0:00,616
2022-08-19 0:00,474
2022-08-20 0:00,136
2022-08-21 0:00,156
2022-08-22 0:00,679
2022-08-23 0:00,743
2022-08-24 0:00,738
2022-08-25 0:00,702
2022-08-26 0:00,656
2022-08-27 0:00,1557
2022-08-28 0:00,305
2022-08-29 0:00,804
2022-08-30 0:00,748
2022-08-31 0:00,908
2022-09-01 0:00,870
2022-09-02 0:00,759
2022-09-03 0:00,1178
2022-09-04 0:00,192
2022-09-05 0:00,268
2022-09-06 0:00,1310
2022-09-07 0:00,2588
2022-09-08 0:00,1665
2022-09-09 0:00,1458
2022-09-10 0:00,428
2022-09-11 0:00,308
2022-09-12 0:00,1562
2022-09-13 0:00,1663
2022-09-14 0:00,1819
2022-09-15 0:00,1667
2022-09-16 0:00,1359
2022-09-17 0:00,1557
2022-09-18 0:00,373
2022-09-19 0:00,554
2022-09-20 0:00,1668
2022-09-21 0:00,1764
2022-09-22 0:00,1615
2022-09-23 0:00,1618
2022-09-24 0:00,1054
2022-09-25 0:00,401
2022-09-26 0:00,1561
2022-09-27 0:00,1661
2022-09-28 0:00,1707
2022-09-29 0:00,1612
2022-09-30 0:00,394
2022-10-01 0:00,476
2022-10-02 0:00,442
2022-10-03 0:00,1665
2022-10-04 0:00,1705
2022-10-05 0:00,1700
2022-10-06 0:00,1663
2022-10-07 0:00,1387
2022-10-08 0:00,416
2022-10-09 0:00,883
2022-10-10 0:00,195
2022-10-11 0:00,1668
2022-10-12 0:00,1785
2022-10-13 0:00,1692
2022-10-14 0:00,1529
2022-10-15 0:00,765
2022-10-16 0:00,606
2022-10-17 0:00,1614
2022-10-18 0:00,1693
2022-10-19 0:00,1770
2022-10-20 0:00,1698
2022-10-21 0:00,2499
2022-10-22 0:00,814
2022-10-23 0:00,590
2022-10-24 0:00,1603
2022-10-25 0:00,1708
2022-10-26 0:00,1755
2022-10-27 0:00,1751
2022-10-28 0:00,1436
2022-10-29 0:00,966
2022-10-30 0:00,546
2022-10-31 0:00,1578
2022-11-01 0:00,1730
2022-11-02 0:00,1761
2022-11-03 0:00,1687
2022-11-04 0:00,1482
2022-11-05 0:00,626
2022-11-06 0:00,588
2022-11-07 0:00,1550
2022-11-08 0:00,1506
2022-11-09 0:00,1003
2022-11-10 0:00,873
2022-11-11 0:00,426
2022-11-12 0:00,485
2022-11-13 0:00,539
2022-11-14 0:00,1677
2022-11-15 0:00,1711
2022-11-16 0:00,1750
2022-11-17 0:00,1608
2022-11-18 0:00,1435
2022-11-19 0:00,626
2022-11-20 0:00,623
2022-11-21 0:00,1683
2022-11-22 0:00,1587
2022-11-23 0:00,1701
2022-11-24 0:00,1584
2022-11-25 0:00,1655
2022-11-26 0:00,542
2022-11-27 0:00,583
2022-11-28 0:00,1683
2022-11-29 0:00,1557
2022-11-30 0:00,677
2022-12-01 0:00,1425
2022-12-02 0:00,1163
2022-12-03 0:00,539
2022-12-04 0:00,499
2022-12-05 0:00,1560
2022-12-06 0:00,1529
2022-12-07 0:00,1619
2022-12-08 0:00,1434
2022-12-09 0:00,1207
2022-12-10 0:00,488
2022-12-11 0:00,625
2022-12-12 0:00,1293
2022-12-13 0:00,1248
2022-12-14 0:00,1320
2022-12-15 0:00,1157
2022-12-16 0:00,1006
2022-12-17 0:00,542
2022-12-18 0:00,349
2022-12-19 0:00,732
2022-12-20 0:00,174
2022-12-21 0:00,528
2022-12-22 0:00,463
2022-12-23 0:00,139
2022-12-24 0:00,60
2022-12-25 0:00,45
2022-12-26 0:00,82
2022-12-27 0:00,133
2022-12-28 0:00,164
2022-12-29 0:00,177
2022-12-30 0:00,169
2022-12-31 0:00,75
2023-01-01 0:00,57
2023-01-02 0:00,107
2023-01-03 0:00,724
2023-01-04 0:00,764
2023-01-05 0:00,724
2023-01-06 0:00,713
2023-01-07 0:00,342
2023-01-08 0:00,336
2023-01-09 0:00,1644
2023-01-10 0:00,1734
2023-01-11 0:00,1775
2023-01-12 0:00,1830
2023-01-13 0:00,1513
2023-01-14 0:00,646
2023-01-15 0:00,1699
2023-01-16 0:00,1749
2023-01-17 0:00,1882
2023-01-18 0:00,1886
2023-01-19 0:00,1896
2023-01-20 0:00,1541
2023-01-21 0:00,713
2023-01-22 0:00,574
2023-01-23 0:00,1684
2023-01-24 0:00,1731
2023-01-25 0:00,1784
2023-01-26 0:00,1864
2023-01-27 0:00,1478
2023-01-28 0:00,559
2023-01-29 0:00,612
2023-01-30 0:00,1678
2023-01-31 0:00,1283
