TimestampLocal,TimestampLocal.total_count,parkade
2017-01-01 0:00,63,Thunderbird
2017-01-02 0:00,132,Thunderbird
2017-01-03 0:00,786,Thunderbird
2017-01-04 0:00,750,Thunderbird
2017-01-05 0:00,709,Thunderbird
2017-01-06 0:00,886,Thunderbird
2017-01-07 0:00,207,Thunderbird
2017-01-08 0:00,351,Thunderbird
2017-01-09 0:00,1644,Thunderbird
2017-01-10 0:00,1698,Thunderbird
2017-01-11 0:00,1543,Thunderbird
2017-01-12 0:00,1564,Thunderbird
2017-01-13 0:00,1161,Thunderbird
2017-01-14 0:00,710,Thunderbird
2017-01-15 0:00,1249,Thunderbird
2017-01-16 0:00,1267,Thunderbird
2017-01-17 0:00,2297,Thunderbird
2017-01-18 0:00,1827,Thunderbird
2017-01-19 0:00,2014,Thunderbird
2017-01-20 0:00,1535,Thunderbird
2017-01-21 0:00,958,Thunderbird
2017-01-22 0:00,666,Thunderbird
2017-01-23 0:00,1770,Thunderbird
2017-01-24 0:00,1750,Thunderbird
2017-01-25 0:00,2183,Thunderbird
2017-01-26 0:00,1872,Thunderbird
2017-01-27 0:00,1564,Thunderbird
2017-01-28 0:00,567,Thunderbird
2017-01-29 0:00,492,Thunderbird
2017-01-30 0:00,1386,Thunderbird
2017-01-31 0:00,1029,Thunderbird
2017-02-01 0:00,1902,Thunderbird
2017-02-02 0:00,1969,Thunderbird
2017-02-03 0:00,711,Thunderbird
2017-02-04 0:00,479,Thunderbird
2017-02-05 0:00,925,Thunderbird
2017-02-06 0:00,892,Thunderbird
2017-02-07 0:00,1737,Thunderbird
2017-02-08 0:00,1219,Thunderbird
2017-02-09 0:00,995,Thunderbird
2017-02-10 0:00,612,Thunderbird
2017-02-11 0:00,428,Thunderbird
2017-02-12 0:00,1040,Thunderbird
2017-02-13 0:00,1709,Thunderbird
2017-02-14 0:00,1353,Thunderbird
2017-02-15 0:00,1585,Thunderbird
2017-02-16 0:00,950,Thunderbird
2017-02-17 0:00,480,Thunderbird
2017-02-18 0:00,659,Thunderbird
2017-02-19 0:00,1076,Thunderbird
2017-02-20 0:00,978,Thunderbird
2017-02-21 0:00,800,Thunderbird
2017-02-22 0:00,1322,Thunderbird
2017-02-23 0:00,883,Thunderbird
2017-02-24 0:00,1175,Thunderbird
2017-02-25 0:00,1741,Thunderbird
2017-02-26 0:00,987,Thunderbird
2017-02-27 0:00,964,Thunderbird
2017-02-28 0:00,479,Thunderbird
2017-03-01 0:00,1726,Thunderbird
2017-03-02 0:00,1332,Thunderbird
2017-03-03 0:00,1081,Thunderbird
2017-03-04 0:00,544,Thunderbird
2017-03-05 0:00,1099,Thunderbird
2017-03-06 0:00,1636,Thunderbird
2017-03-07 0:00,1760,Thunderbird
2017-03-08 0:00,1606,Thunderbird
