TimestampLocal,TimestampLocal.total_count,parkade
2015-01-01 0:00,53,Thunderbird
2015-01-02 0:00,113,Thunderbird
2015-01-03 0:00,665,Thunderbird
2015-01-04 0:00,778,Thunderbird
2015-01-05 0:00,757,Thunderbird
2015-01-06 0:00,637,Thunderbird
2015-01-07 0:00,259,Thunderbird
2015-01-08 0:00,364,Thunderbird
2015-01-09 0:00,1054,Thunderbird
2015-01-10 0:00,1906,Thunderbird
2015-01-11 0:00,1856,Thunderbird
2015-01-12 0:00,1747,Thunderbird
2015-01-13 0:00,1677,Thunderbird
2015-01-14 0:00,618,Thunderbird
2015-01-15 0:00,1995,Thunderbird
2015-01-16 0:00,2010,Thunderbird
2015-01-17 0:00,2758,Thunderbird
2015-01-18 0:00,1646,Thunderbird
2015-01-19 0:00,1749,Thunderbird
2015-01-20 0:00,1954,Thunderbird
2015-01-21 0:00,724,Thunderbird
2015-01-22 0:00,551,Thunderbird
2015-01-23 0:00,1665,Thunderbird
2015-01-24 0:00,1688,Thunderbird
2015-01-25 0:00,1580,Thunderbird
2015-01-26 0:00,1755,Thunderbird
2015-01-27 0:00,1222,Thunderbird
2015-01-28 0:00,689,Thunderbird
2015-01-29 0:00,488,Thunderbird
2015-01-30 0:00,1800,Thunderbird
2015-01-31 0:00,1803,Thunderbird
2015-02-01 0:00,1679,Thunderbird
2015-02-02 0:00,2276,Thunderbird
2015-02-03 0:00,761,Thunderbird
2015-02-04 0:00,265,Thunderbird
2015-02-05 0:00,889,Thunderbird
2015-02-06 0:00,1636,Thunderbird
2015-02-07 0:00,1884,Thunderbird
2015-02-08 0:00,1350,Thunderbird
2015-02-09 0:00,1138,Thunderbird
2015-02-10 0:00,518,Thunderbird
2015-02-11 0:00,436,Thunderbird
2015-02-12 0:00,1231,Thunderbird
2015-02-13 0:00,1347,Thunderbird
2015-02-14 0:00,1147,Thunderbird
2015-02-15 0:00,1366,Thunderbird
2015-02-16 0:00,1012,Thunderbird
2015-02-17 0:00,677,Thunderbird
2015-02-18 0:00,767,Thunderbird
2015-02-19 0:00,969,Thunderbird
2015-02-20 0:00,1018,Thunderbird
2015-02-21 0:00,956,Thunderbird
2015-02-22 0:00,950,Thunderbird
2015-02-23 0:00,1150,Thunderbird
2015-02-24 0:00,1248,Thunderbird
2015-02-25 0:00,1467,Thunderbird
2015-02-26 0:00,1638,Thunderbird
2015-02-27 0:00,1055,Thunderbird
2015-02-28 0:00,537,Thunderbird
2015-03-01 0:00,1144,Thunderbird
2015-03-02 0:00,1033,Thunderbird
2015-03-03 0:00,1075,Thunderbird
2015-03-04 0:00,470,Thunderbird
2015-03-05 0:00,1303,Thunderbird
2015-03-06 0:00,2047,Thunderbird
2015-03-07 0:00,1871,Thunderbird
2015-03-08 0:00,1334,Thunderbird
2015-03-09 0:00,1726,Thunderbird
2015-03-10 0:00,733,Thunderbird
2015-03-11 0:00,543,Thunderbird
2015-03-12 0:00,1157,Thunderbird
2015-03-13 0:00,1120,Thunderbird
2015-03-14 0:00,2161,Thunderbird
2015-03-15 0:00,1364,Thunderbird
2015-03-16 0:00,993,Thunderbird
2015-03-17 0:00,466,Thunderbird
2015-03-18 0:00,611,Thunderbird
2015-03-19 0:00,1550,Thunderbird
2015-03-20 0:00,1257,Thunderbird
2015-03-21 0:00,861,Thunderbird
2015-03-22 0:00,1164,Thunderbird
2015-03-23 0:00,1021,Thunderbird
2015-03-24 0:00,409,Thunderbird
2015-03-25 0:00,578,Thunderbird
2015-03-26 0:00,1323,Thunderbird
2015-03-27 0:00,1116,Thunderbird
2015-03-28 0:00,1025,Thunderbird
2015-03-29 0:00,1224,Thunderbird
2015-03-30 0:00,477,Thunderbird
2015-03-31 0:00,878,Thunderbird
2015-04-01 0:00,1337,Thunderbird
2015-04-02 0:00,1191,Thunderbird
2015-04-03 0:00,1290,Thunderbird
2015-04-04 0:00,296,Thunderbird
2015-04-05 0:00,472,Thunderbird
2015-04-06 0:00,1328,Thunderbird
2015-04-07 0:00,2137,Thunderbird
2015-04-08 0:00,2470,Thunderbird
2015-04-09 0:00,1561,Thunderbird
2015-04-10 0:00,625,Thunderbird
2015-04-11 0:00,397,Thunderbird
2015-04-12 0:00,916,Thunderbird
2015-04-13 0:00,1618,Thunderbird
2015-04-14 0:00,1503,Thunderbird
2015-04-15 0:00,1685,Thunderbird
2015-04-16 0:00,1256,Thunderbird
2015-04-17 0:00,1186,Thunderbird
2015-04-18 0:00,361,Thunderbird
2015-04-19 0:00,1161,Thunderbird
2015-04-20 0:00,2031,Thunderbird
2015-04-21 0:00,1358,Thunderbird
2015-04-22 0:00,1145,Thunderbird
2015-04-23 0:00,866,Thunderbird
2015-04-24 0:00,280,Thunderbird
2015-04-25 0:00,435,Thunderbird
2015-04-26 0:00,1289,Thunderbird
2015-04-27 0:00,1638,Thunderbird
2015-04-28 0:00,1217,Thunderbird
2015-04-29 0:00,1793,Thunderbird
2015-04-30 0:00,834,Thunderbird
2015-05-01 0:00,294,Thunderbird
2015-05-02 0:00,504,Thunderbird
2015-05-03 0:00,721,Thunderbird
2015-05-04 0:00,757,Thunderbird
2015-05-05 0:00,558,Thunderbird
2015-05-06 0:00,918,Thunderbird
2015-05-07 0:00,477,Thunderbird
2015-05-08 0:00,295,Thunderbird
2015-05-09 0:00,512,Thunderbird
2015-05-10 0:00,844,Thunderbird
2015-05-11 0:00,719,Thunderbird
2015-05-12 0:00,838,Thunderbird
2015-05-13 0:00,825,Thunderbird
2015-05-14 0:00,402,Thunderbird
2015-05-15 0:00,305,Thunderbird
2015-05-16 0:00,407,Thunderbird
2015-05-17 0:00,1040,Thunderbird
2015-05-18 0:00,739,Thunderbird
2015-05-19 0:00,605,Thunderbird
2015-05-20 0:00,747,Thunderbird
2015-05-21 0:00,668,Thunderbird
2015-05-22 0:00,239,Thunderbird
2015-05-23 0:00,354,Thunderbird
2015-05-24 0:00,846,Thunderbird
2015-05-25 0:00,811,Thunderbird
2015-05-26 0:00,703,Thunderbird
2015-05-27 0:00,751,Thunderbird
2015-05-28 0:00,526,Thunderbird
2015-05-29 0:00,207,Thunderbird
2015-05-30 0:00,532,Thunderbird
2015-05-31 0:00,628,Thunderbird
2015-06-01 0:00,799,Thunderbird
2015-06-02 0:00,470,Thunderbird
2015-06-03 0:00,522,Thunderbird
2015-06-04 0:00,402,Thunderbird
2015-06-05 0:00,317,Thunderbird
2015-06-06 0:00,139,Thunderbird
2015-06-07 0:00,862,Thunderbird
2015-06-08 0:00,892,Thunderbird
2015-06-09 0:00,909,Thunderbird
2015-06-10 0:00,1357,Thunderbird
2015-06-11 0:00,989,Thunderbird
2015-06-12 0:00,185,Thunderbird
2015-06-13 0:00,691,Thunderbird
2015-06-14 0:00,1324,Thunderbird
2015-06-15 0:00,894,Thunderbird
2015-06-16 0:00,887,Thunderbird
2015-06-17 0:00,610,Thunderbird
2015-06-18 0:00,218,Thunderbird
2015-06-19 0:00,172,Thunderbird
2015-06-20 0:00,579,Thunderbird
2015-06-21 0:00,646,Thunderbird
2015-06-22 0:00,728,Thunderbird
2015-06-23 0:00,587,Thunderbird
2015-06-24 0:00,445,Thunderbird
2015-06-25 0:00,128,Thunderbird
2015-06-26 0:00,547,Thunderbird
2015-06-27 0:00,504,Thunderbird
2015-06-28 0:00,947,Thunderbird
2015-06-29 0:00,598,Thunderbird
2015-06-30 0:00,477,Thunderbird
2015-07-01 0:00,479,Thunderbird
2015-07-02 0:00,466,Thunderbird
2015-07-03 0:00,507,Thunderbird
2015-07-04 0:00,794,Thunderbird
2015-07-05 0:00,704,Thunderbird
2015-07-06 0:00,646,Thunderbird
2015-07-07 0:00,1821,Thunderbird
2015-07-08 0:00,436,Thunderbird
2015-07-09 0:00,121,Thunderbird
