TimestampLocal,TimestampLocal.total_count
6/6/22 0:00,121
6/7/22 0:00,873
6/8/22 0:00,804
6/9/22 0:00,774
6/10/22 0:00,1227
6/11/22 0:00,891
6/12/22 0:00,250
6/13/22 0:00,781
6/14/22 0:00,872
6/15/22 0:00,876
6/16/22 0:00,830
6/17/22 0:00,614
6/18/22 0:00,200
6/19/22 0:00,133
6/20/22 0:00,695
6/21/22 0:00,814
6/22/22 0:00,744
6/23/22 0:00,707
6/24/22 0:00,504
6/25/22 0:00,146
6/26/22 0:00,796
6/27/22 0:00,692
6/28/22 0:00,735
6/29/22 0:00,692
6/30/22 0:00,583
7/1/22 0:00,552
7/2/22 0:00,441
7/3/22 0:00,537
7/4/22 0:00,655
7/5/22 0:00,724
7/6/22 0:00,732
7/7/22 0:00,1822
7/8/22 0:00,540
7/9/22 0:00,97
7/10/22 0:00,115
7/11/22 0:00,726
7/12/22 0:00,735
7/13/22 0:00,713
7/14/22 0:00,720
7/15/22 0:00,550
7/16/22 0:00,122
7/17/22 0:00,117
7/18/22 0:00,690
7/19/22 0:00,661
7/20/22 0:00,691
7/21/22 0:00,664
7/22/22 0:00,526
7/23/22 0:00,138
7/24/22 0:00,121
7/25/22 0:00,665
7/26/22 0:00,761
7/27/22 0:00,729
7/28/22 0:00,660
7/29/22 0:00,521
7/30/22 0:00,136
7/31/22 0:00,93
8/1/22 0:00,135
8/2/22 0:00,684
8/3/22 0:00,751
8/4/22 0:00,677
8/5/22 0:00,490
8/6/22 0:00,149
8/7/22 0:00,149
8/8/22 0:00,586
8/9/22 0:00,675
8/10/22 0:00,707
8/11/22 0:00,683
8/12/22 0:00,500
8/13/22 0:00,131
8/14/22 0:00,132
8/15/22 0:00,646
8/16/22 0:00,699
8/17/22 0:00,637
8/18/22 0:00,616
8/19/22 0:00,474
8/20/22 0:00,136
8/21/22 0:00,156
8/22/22 0:00,679
8/23/22 0:00,743
8/24/22 0:00,738
8/25/22 0:00,702
8/26/22 0:00,656
8/27/22 0:00,1557
8/28/22 0:00,305
8/29/22 0:00,804
8/30/22 0:00,748
8/31/22 0:00,908
9/1/22 0:00,870
9/2/22 0:00,759
9/3/22 0:00,1178
9/4/22 0:00,192
9/5/22 0:00,268
9/6/22 0:00,1310
9/7/22 0:00,2588
9/8/22 0:00,1665
9/9/22 0:00,1458
9/10/22 0:00,428
9/11/22 0:00,308
9/12/22 0:00,1562
9/13/22 0:00,1663
9/14/22 0:00,1819
9/15/22 0:00,1667
9/16/22 0:00,1359
9/17/22 0:00,1557
9/18/22 0:00,373
9/19/22 0:00,554
9/20/22 0:00,1668
9/21/22 0:00,1764
9/22/22 0:00,1615
9/23/22 0:00,1618
9/24/22 0:00,1054
9/25/22 0:00,401
9/26/22 0:00,1561
9/27/22 0:00,1661
9/28/22 0:00,1707
9/29/22 0:00,1612
9/30/22 0:00,394
10/1/22 0:00,476
10/2/22 0:00,442
10/3/22 0:00,1665
10/4/22 0:00,1705
10/5/22 0:00,1700
10/6/22 0:00,1663
10/7/22 0:00,1387
10/8/22 0:00,416
10/9/22 0:00,883
10/10/22 0:00,195
10/11/22 0:00,1668
10/12/22 0:00,1785
10/13/22 0:00,1692
10/14/22 0:00,1529
10/15/22 0:00,765
10/16/22 0:00,606
10/17/22 0:00,1614
10/18/22 0:00,1693
10/19/22 0:00,1770
10/20/22 0:00,1698
10/21/22 0:00,2499
10/22/22 0:00,814
10/23/22 0:00,590
10/24/22 0:00,1603
10/25/22 0:00,1708
10/26/22 0:00,1755
10/27/22 0:00,1751
10/28/22 0:00,1436
10/29/22 0:00,966
10/30/22 0:00,546
10/31/22 0:00,1578
11/1/22 0:00,1730
11/2/22 0:00,1761
11/3/22 0:00,1687
11/4/22 0:00,1482
11/5/22 0:00,626
11/6/22 0:00,588
11/7/22 0:00,1550
11/8/22 0:00,1506
11/9/22 0:00,1003
11/10/22 0:00,873
11/11/22 0:00,426
11/12/22 0:00,485
11/13/22 0:00,539
11/14/22 0:00,1677
11/15/22 0:00,1711
11/16/22 0:00,1750
11/17/22 0:00,1608
11/18/22 0:00,1435
11/19/22 0:00,626
11/20/22 0:00,623
11/21/22 0:00,1683
11/22/22 0:00,1587
11/23/22 0:00,1701
11/24/22 0:00,1584
11/25/22 0:00,1655
11/26/22 0:00,542
11/27/22 0:00,583
11/28/22 0:00,1683
11/29/22 0:00,1557
11/30/22 0:00,677
12/1/22 0:00,1425
12/2/22 0:00,1163
12/3/22 0:00,539
12/4/22 0:00,499
12/5/22 0:00,1560
12/6/22 0:00,1529
12/7/22 0:00,1619
12/8/22 0:00,1434
12/9/22 0:00,1207
12/10/22 0:00,488
12/11/22 0:00,625
12/12/22 0:00,1293
12/13/22 0:00,1248
12/14/22 0:00,1320
12/15/22 0:00,1157
12/16/22 0:00,1006
12/17/22 0:00,542
12/18/22 0:00,349
12/19/22 0:00,732
12/20/22 0:00,174
12/21/22 0:00,528
12/22/22 0:00,463
12/23/22 0:00,139
12/24/22 0:00,60
12/25/22 0:00,45
12/26/22 0:00,82
12/27/22 0:00,133
12/28/22 0:00,164
12/29/22 0:00,177
12/30/22 0:00,169
12/31/22 0:00,75
1/1/23 0:00,57
1/2/23 0:00,107
1/3/23 0:00,724
1/4/23 0:00,764
1/5/23 0:00,724
1/6/23 0:00,713
1/7/23 0:00,342
1/8/23 0:00,336
1/9/23 0:00,1644
1/10/23 0:00,1734
1/11/23 0:00,1775
1/12/23 0:00,1830
1/13/23 0:00,1513
1/14/23 0:00,646
1/15/23 0:00,1699
1/16/23 0:00,1749
1/17/23 0:00,1882
1/18/23 0:00,1886
1/19/23 0:00,1896
1/20/23 0:00,1541
1/21/23 0:00,713
1/22/23 0:00,574
1/23/23 0:00,1684
1/24/23 0:00,1731
1/25/23 0:00,1784
1/26/23 0:00,1864
1/27/23 0:00,1478
1/28/23 0:00,559
1/29/23 0:00,612
1/30/23 0:00,1282
